구분	약국명칭	약국전화번호	약국소재지(도로명주소)	마스크 보유현황
분당구	판교이화자연약국	031-703-8285	경기도 성남시 분당구 판교역로192번길 16, 118호 (삼평동, 판교타워)	3
분당구	예담한약국	031-8017-3238	경기도 성남시 분당구 판교역로241번길 22, 1층 107호 (삼평동)	157
분당구	판교원약국	031-709-7577	경기도 성남시 분당구 판교원로 207, 1층 104호 (판교동,  판교원마을 상가동)	159
분당구	예담원한약국	031-726-2979	경기도 성남시 분당구 황새울로 234, 104호 (수내동, 트라팰리스)	44
분당구	데일리약국	031-8023-5100	경기도 성남시 분당구 황새울로 325, 서현하우비 (서현동)	127
분당구	건강한약국	031-705-1181	경기도 성남시 분당구 황새울로311번길 14, 101호 (서현동, 서현리더스빌딩)	135
분당구	정성약국	031-696-1231	경기도 성남시 분당구 황새울로335번길 5, 101호 (서현동, 엔타운빌딩)	65
분당구	서현해맑은약국	031-705-3913	경기도 성남시 분당구 황새울로342번길 11, 103호 (서현동, 금호리빙스텔)	141
분당구	동암약국	031-707-1220	경기도 성남시 분당구 황새울로342번길 11, 106,107호 (서현동, 금호리빙스텔)	147
분당구	베델약국	031-706-8885	경기도 성남시 분당구 황새울로342번길 11, 109호 (서현동, 금호리빙스텔)	78
수정구	태영약국	031-732-5001	경기도 성남시 수정구 공원로 322, 181,182호 (신흥동, 신동아파리디움상가)	92
수정구	두리온누리약국	031-741-1480	경기도 성남시 수정구 공원로 322, 1층 105호 (신흥동, 신동아파라디움)	188
수정구	유자약국	031-748-0221	경기도 성남시 수정구 공원로 322, 2층 225호 (신흥동, 신동아파라디움)	176
수정구	세린약국	031-722-1023	경기도 성남시 수정구 남문로 106, 1층 (태평동)	73
수정구	비타약국	031-755-3818	경기도 성남시 수정구 남문로 143 (태평동)	69
수정구	조아약국	031-753-9228	경기도 성남시 수정구 남문로 61, 1층 (태평동)	60
수정구	보령온누리약국	031-753-3993	경기도 성남시 수정구 남문로 66, 1층 (태평동, 이수빌딩)	181
수정구	동인당한약국	031-756-7515	경기도 성남시 수정구 남문로112번길 20-1 (태평동)	58
수정구	팔마약국	031-722-0097	경기도 성남시 수정구 남문로112번길 6, 1층 (태평동)	110
수정구	함약국	031-756-5635	경기도 성남시 수정구 남문로69번길 5-8 (태평동)	174
수정구	논골종로약국	031-732-2878	경기도 성남시 수정구 논골로 1 (단대동)	157
수정구	박애약국	031-747-6505	경기도 성남시 수정구 논골로35번길 2 (단대동)	3
수정구	미문약국	031-757-0691	경기도 성남시 수정구 달래내로 369, B1층 (상적동)	71
수정구	경희한약국	031-756-7725	경기도 성남시 수정구 모란로 89 (태평동)	4
수정구	사랑약국	031-751-1878	경기도 성남시 수정구 복정로 134, 102호 (복정동)	154
수정구	복정동서울약국	031-759-5398	경기도 성남시 수정구 복정로 86, 104호 (복정동)	164
수정구	한마음약국	031-723-6060	경기도 성남시 수정구 산성대로 207, 1층 (신흥동)	70
수정구	중앙당온누리약국	031-757-5979	경기도 성남시 수정구 산성대로 233, 1층 (신흥동)	80
수정구	미래열린약국	031-758-9021	경기도 성남시 수정구 산성대로 237-1, 1층 (신흥동)	131
수정구	다원약국	031-722-0369	경기도 성남시 수정구 산성대로 241, 5층 (신흥동)	124
수정구	신흥종로약국	031-744-2992	경기도 성남시 수정구 산성대로 247, 1층 (신흥동)	177
수정구	한약국	031-741-6444	경기도 성남시 수정구 산성대로 249, 1층 (신흥동)	46
수정구	삼정시네마약국	031-732-7755	경기도 성남시 수정구 산성대로 267, 1층 111호 (신흥동)	105
수정구	신흥365약국	031-603-3605	경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 1층 110호 (신흥동)	49
수정구	우리들약국	031-747-9300	경기도 성남시 수정구 산성대로 285-1 (신흥동, 1층)	172
수정구	신흥하나로약국	031-735-3600	경기도 성남시 수정구 산성대로 313, 1층 (신흥동)	56
수정구	한신메디칼약국	031-730-2370	경기도 성남시 수정구 산성대로 331, 204호 (신흥동, 한신프라자)	126
수정구	대아약국	031-730-2045	경기도 성남시 수정구 산성대로 331, 2층 (신흥동)	79
수정구	세이브존건강한약국	031-730-1501	경기도 성남시 수정구 산성대로 337, B1층 (신흥동, 세이브존)	186
수정구	한사랑약국	031-741-0059	경기도 성남시 수정구 산성대로 395, 1층 101호 (단대동)	132
수정구	옵티마봄약국	031-732-3248	경기도 성남시 수정구 산성대로 433, 1층 (단대동)	133
수정구	여명약국	031-735-4549	경기도 성남시 수정구 산성대로 435 (단대동)	57
수정구	성남미래약국	031-735-5575	경기도 성남시 수정구 산성대로 439, 102호 (단대동)	58
수정구	양지약국	031-747-4199	경기도 성남시 수정구 산성대로 481, 1층 (양지동)	101
수정구	푸른약국	031-744-8279	경기도 성남시 수정구 산성대로 517 (양지동)	6
수정구	일가약국	031-741-2935	경기도 성남시 수정구 산성대로283번길 11 (신흥동)	148
수정구	큰우물약국	031-755-0062	경기도 성남시 수정구 성남대로 1171, 1층 102호 (수진동, 삼성화재빌딩)	180
수정구	태평약국	031-751-4327	경기도 성남시 수정구 성남대로 1251 (태평동)	10
수정구	온누리청산약국	031-751-3928	경기도 성남시 수정구 성남대로 1254-1 (태평동)	82
수정구	온누리한솔약국	031-757-1665	경기도 성남시 수정구 성남대로 1275-1 (태평동)	128
수정구	청년약국	031-8039-7582	경기도 성남시 수정구 성남대로 1330, 1층 104호 (태평동)	15
수정구	삼부약국	031-722-4573	경기도 성남시 수정구 성남대로1221번길 11 (수진동)	195
수정구	태평정문약국	031-755-7783	경기도 성남시 수정구 성남대로1226번길 10 (수진동, 계영캐슬)	60
수정구	보건약국	031-736-4222	경기도 성남시 수정구 수정남로 154-1 (신흥동)	184
수정구	왕약국	031-734-2143	경기도 성남시 수정구 수정남로 161 (신흥동)	32
수정구	신중앙메디칼약국	031-744-0158	경기도 성남시 수정구 수정남로 297, 1층 (산성동)	9
수정구	산성 온누리약국	031-731-9022	경기도 성남시 수정구 수정남로 298, 1층 (산성동)	180
수정구	대오약국	031-733-3349	경기도 성남시 수정구 수정남로 299 (산성동)	191
수정구	금호당약국	031-751-3005	경기도 성남시 수정구 수정남로16번길 14-1 (수진동)	29
수정구	새강약국	031-747-4655	경기도 성남시 수정구 수정남로324번길 2 (산성동)	177
수정구	연세약국	031-757-9996	경기도 성남시 수정구 수정로 106, 1층 109-111호 (수진동, SR프라자)	68
수정구	햇살약국	031-757-7676	경기도 성남시 수정구 수정로 106, 207호 (수진동, SR프라자)	13
수정구	에이스약국	070-7543-4390	경기도 성남시 수정구 수정로 106, SR프라자 3층 304.305호 (수진동)	188
수정구	성남온누리약국	031-721-1547	경기도 성남시 수정구 수정로 115, 1층 102호 (태평동)	87
수정구	김구약국	031-753-9828	경기도 성남시 수정구 수정로 115-1 (태평동, 주민신협행복빌딩)	166
수정구	코끼리약국	031-755-9810	경기도 성남시 수정구 수정로 116 (수진동)	11
수정구	고구려약국	031-722-0584	경기도 성남시 수정구 수정로 130, 창도빌딩 1층 (수진동)	41
수정구	동신약국	031-699-1522	경기도 성남시 수정구 수정로 139 (태평동)	32
수정구	중파약국	031-757-1237	경기도 성남시 수정구 수정로 141-1 (태평동)	6
수정구	이화온누리약국	031-757-5461	경기도 성남시 수정구 수정로 144, 1층 (수진동)	57
수정구	진선약국	031-756-8100	경기도 성남시 수정구 수정로 147, 1층 (태평동)	113
수정구	생명수약국	031-757-0420	경기도 성남시 수정구 수정로 161-1, 1층 (태평동)	29
수정구	플러스약국	031-757-7447	경기도 성남시 수정구 수정로 162, 1층 (신흥동)	141
수정구	건강한약국	031-721-7407	경기도 성남시 수정구 수정로 163 (태평동)	50
수정구	명약국	031-756-0870	경기도 성남시 수정구 수정로 167, 2층 (태평동)	51
수정구	열린온누리약국	031-756-3600	경기도 성남시 수정구 수정로 174, 1층 101호 (신흥동, 효산빌딩)	91
수정구	성남참조은약국	031-609-1113	경기도 성남시 수정구 수정로 175, 동일빌딩 1층 (태평동)	55
수정구	성남메디칼약국	031-753-2734	경기도 성남시 수정구 수정로 179-1, 1층 (태평동)	12
수정구	태평양약국	031-753-8020	경기도 성남시 수정구 수정로 184, 1층 (신흥동)	62
수정구	튼튼약국	031-754-3430	경기도 성남시 수정구 수정로 186, 1층 (신흥동)	140
수정구	성남사랑약국	070-8844-1405	경기도 성남시 수정구 수정로 201 (태평동, 신세계쉐덴)	198
수정구	명성약국	031-758-9753	경기도 성남시 수정구 수정로 205, 1층 (태평동, 산운빌딩)	22
수정구	메드백세약국	031-731-9655	경기도 성남시 수정구 수정로 208, 1층 (신흥동)	127
수정구	강희약국	031-742-0771	경기도 성남시 수정구 수정로 210, 1층 (신흥동)	106
수정구	수정이화약국	031-731-7317	경기도 성남시 수정구 수정로 214 (신흥동)	175
수정구	우리약국	031-747-8002	경기도 성남시 수정구 수정로 273, 1층 (신흥동)	45
수정구	약진약국	031-733-7567	경기도 성남시 수정구 수정로 346, 107호 (산성동)	74
수정구	행복한약국	031-749-8543	경기도 성남시 수정구 수정로 348, 1층 (산성동)	2
수정구	대명약국	031-752-2174	경기도 성남시 수정구 수정로 59, 1층 (태평동)	143
수정구	서가종로온누리약국	031-756-9901	경기도 성남시 수정구 수정로 68, 세종빌딩 1층 (수진동)	13
수정구	기쁨약국	031-758-7582	경기도 성남시 수정구 수정로 69, 대명빌딩 1층 일부호 (태평동)	70
수정구	정다운약국	031-755-6156	경기도 성남시 수정구 수정로 78, 1층 (수진동)	1
수정구	행복이열리는약국	031-757-5701	경기도 성남시 수정구 수정로 89, 1층 (태평동)	14
수정구	영약국	031-752-1277	경기도 성남시 수정구 수정로120번길 37-1 (수진동)	23
수정구	영진약국	031-751-7770	경기도 성남시 수정구 수정로120번길 8 (수진동)	131
수정구	21세기건강옵티마약국	031-754-2909	경기도 성남시 수정구 수정로135번길 4, 1층 3호 (태평동, 삼오아트빌)	135
수정구	태평보룡약국	031-752-9701	경기도 성남시 수정구 수정로171번길 11-1, 동남빌딩 1층 (태평동)	65
수정구	가나정문약국	031-759-8868	경기도 성남시 수정구 수정로171번길 17-1, 지층~1층 (태평동)	119
수정구	가가호호백세약국	031-751-5222	경기도 성남시 수정구 수정로171번길 21, 1층 (태평동)	80
수정구	성남다사랑약국	031-752-7900	경기도 성남시 수정구 수정로171번길 7-1, 우일프라자 1층 (태평동)	160
수정구	가까운태평양약국	031-752-8020	경기도 성남시 수정구 수정로171번길 8, 정산빌딩 3층 (태평동)	105
수정구	전주약국	031-734-6524	경기도 성남시 수정구 수정로342번길 13-3 (산성동)	160
수정구	우리동네우리약국	031-721-0233	경기도 성남시 수정구 수정로74번길 4, 1층 (수진동)	104
수정구	메디칼왕약국	031-756-5765	경기도 성남시 수정구 수정북로13번길 2 (태평동)	41
수정구	금광약국	031-755-1924	경기도 성남시 수정구 시민로 227 (태평동)	189
수정구	경성약국	031-756-7373	경기도 성남시 수정구 시민로 230 (태평동)	194
수정구	조은우리약국	031-754-8204	경기도 성남시 수정구 시민로 237, 1층 (태평동)	74
수정구	경신약국	031-757-2181	경기도 성남시 수정구 시민로175번길 33 (신흥동)	161
수정구	성남으뜸약국	031-759-4567	경기도 성남시 수정구 시민로205번길 30, 1층 (태평동)	23
수정구	가고싶은 후문약국	031-721-0045	경기도 성남시 수정구 시민로205번길 32, 1층 (태평동)	81
수정구	위례조은약국	031-757-0088	경기도 성남시 수정구 위례광장로 19, 115호 (창곡동, 아이페리온)	108
수정구	연세으뜸약국	031-756-3339	경기도 성남시 수정구 위례광장로 27, 으뜸프라자 103호 (창곡동)	161
수정구	위례우리들약국	031-722-0754	경기도 성남시 수정구 위례광장로 300, 808호 (창곡동, 위례중앙역중앙타워)	47
수정구	위례미소약국	031-753-7985	경기도 성남시 수정구 위례광장로 300, B40호 (창곡동, 위례중앙역중앙타워)	159
수정구	위례중앙약국	031-757-3331	경기도 성남시 수정구 위례광장로 310, A동 104호 (창곡동, 우성트램타워)	119
수정구	위례다나약국	031-722-6477	경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 104호 (창곡동)	102
수정구	센트럴약국	031-759-7588	경기도 성남시 수정구 위례광장로 320, 1층 114호 (복정동, 아이에스센트럴타워)	162
수정구	연지온누리약국	031-752-7510	경기도 성남시 수정구 위례광장로 320, 아이에스센트럴타워131호 (창곡동)	191
수정구	위례퍼스트약국	031-753-5006	경기도 성남시 수정구 위례광장로 322, 아이플렉스 1층 118호 (창곡동)	190
수정구	위례진약국	031-754-5082	경기도 성남시 수정구 위례광장로 322, 아이플렉스 1층 119호 (창곡동)	129
수정구	위례광장약국	031-723-7488	경기도 성남시 수정구 위례광장로 9-9, 위례우남역 퍼스트푸르지오시티 1층 112호 (창곡동)	105
수정구	나무약국	031-752-0502	경기도 성남시 수정구 위례동로 135-6, 101호 (창곡동, 이너매스위례)	158
수정구	천사온누리약국	070-4203-7234	경기도 성남시 수정구 위례동로 141, 1층 106호 (창곡동, 우성메디피아)	109
수정구	달달약국	031-759-3652	경기도 성남시 수정구 위례동로 147, 1층 110호 (창곡동, 위례건아타워)	144
수정구	위례메디칼약국	031-722-3882	경기도 성남시 수정구 위례동로 153, 113,114호 (창곡동, 에이플타워 )	93
수정구	위례수약국	031-756-0365	경기도 성남시 수정구 위례서일로 18, 102, 103호 (창곡동, 더존메디칼타워)	60
수정구	으뜸약국	070-8803-4155	경기도 성남시 수정구 위례서일로 22, 이너매스우남 7층 714호 (창곡동)	95
수정구	성남수진중앙약국	031-759-8583	경기도 성남시 수정구 제일로 153, 1층 (수진동)	163
수정구	한샘약국	031-757-8421	경기도 성남시 수정구 제일로 157, 1층 (수진동)	191
수정구	녹용당약국	031-721-8521	경기도 성남시 수정구 제일로147번길 4, 110호 (수진동, 현대(아)상가)	107
수정구	태평로약국	031-721-5790	경기도 성남시 수정구 제일로180번길 3, 1층 (태평동)	67
수정구	오거리약국	031-759-9953	경기도 성남시 수정구 탄리로 116, 1층 (태평동)	111
수정구	태평종로약국	031-755-5518	경기도 성남시 수정구 탄리로 120 (태평동)	74
수정구	샤론약국	031-757-4011	경기도 성남시 수정구 탄리로52번길 13 (신흥동)	186
수정구	광장약국	031-759-5901	경기도 성남시 수정구 수정로171번길 15, 1층(태평동)	102
중원구	수진하나약국	031-753-0510	경기도 성남시 중원구 광명로 114, 101-1호 (성남동)	54
중원구	한일약국	031-754-6773	경기도 성남시 중원구 광명로 124 (성남동)	148
중원구	상아약국	031-753-8048	경기도 성남시 중원구 광명로 14, 1층 (성남동)	38
중원구	두원약국	031-751-3101	경기도 성남시 중원구 광명로 141-1 (성남동)	80
중원구	기승전 휴베이스약국	031-752-1531	경기도 성남시 중원구 광명로 17, 대동빌딩 1층 (성남동)	65
중원구	김약국	031-734-2835	경기도 성남시 중원구 광명로 183-1 (중앙동)	158
중원구	유정약국	031-746-5003	경기도 성남시 중원구 광명로 322, 1층 (금광동)	177
중원구	광명로약국	070-4193-5800	경기도 성남시 중원구 광명로 327, 1층 (금광동)	191
중원구	우리들약국	031-741-1585	경기도 성남시 중원구 광명로 330-1, 1층 (금광동)	110
중원구	금광프라자약국	031-741-6220	경기도 성남시 중원구 광명로 331, 1층 (금광동)	175
중원구	수약국	031-734-7784	경기도 성남시 중원구 광명로 336, 1층 (금광동, 신호빌딩)	73
중원구	수인약국	031-734-0713	경기도 성남시 중원구 광명로 347 (금광동)	173
중원구	전승완약국	031-734-6041	경기도 성남시 중원구 광명로 372 (금광동)	4
중원구	모란팜약국	031-721-2018	경기도 성남시 중원구 광명로 5, 성남동메디칼센타 1층 104호 (성남동)	193
중원구	예일온누리약국	031-732-4702	경기도 성남시 중원구 광명로347번길 2 (금광동)	194
중원구	새성남옵티마약국	031-731-0377	경기도 성남시 중원구 금빛로 99 (금광동)	38
중원구	우리약국	031-748-5438	경기도 성남시 중원구 금상로 120 (상대원동)	21
중원구	새중원약국	031-745-0355	경기도 성남시 중원구 금상로 134, 101호 (상대원동, 선경아파트상가)	163
중원구	민주약국	031-743-9906	경기도 성남시 중원구 금상로 18, 1층 (상대원동)	129
중원구	오대문약국	031-734-8036	경기도 성남시 중원구 금상로 53, 1층 (상대원동)	14
중원구	밝은온누리약국	031-732-0456	경기도 성남시 중원구 금상로 6, 1층 (상대원동)	104
중원구	기범약국	031-745-7792	경기도 성남시 중원구 금상로 60 (상대원동)	37
중원구	조은약국	031-733-3755	경기도 성남시 중원구 금상로 61, 2층 (금광동)	1
중원구	연세약국	031-734-7795	경기도 성남시 중원구 금상로82번길 2, 1층 (상대원동)	185
중원구	건강샘약국	031-755-7533	경기도 성남시 중원구 도촌남로 27, 동강프라자 1층 107호 (도촌동)	80
중원구	봄약국	031-758-3035	경기도 성남시 중원구 도촌남로 33, 203호 (도촌동, 세일프라자)	192
중원구	홍약국	031-759-9293	경기도 성남시 중원구 도촌남로 37, 도촌프라자 1층 104호 (도촌동)	97
중원구	중원종로약국	031-752-7843	경기도 성남시 중원구 둔촌대로 163, 1층 (성남동)	49
중원구	어진약국	031-698-2172	경기도 성남시 중원구 둔촌대로 272, 1층 (하대원동)	143
중원구	하늘옵티마약국	031-751-7990	경기도 성남시 중원구 둔촌대로 274, 124호 (하대원동, 태연스카이빌)	192
중원구	벧엘온누리약국	031-751-4061	경기도 성남시 중원구 둔촌대로 277 (하대원동)	170
중원구	필리아약국	031-759-9259	경기도 성남시 중원구 둔촌대로 283 (하대원동)	199
중원구	이원약국	070-8806-0557	경기도 성남시 중원구 둔촌대로 363, 1층 (하대원동, 자이아파트 상가 104호)	46
중원구	건강약국	031-733-3321	경기도 성남시 중원구 둔촌대로 379, 1층 (상대원동)	9
중원구	임약국	031-731-6272	경기도 성남시 중원구 둔촌대로 381, 1층 (상대원동, 대성빌딩)	82
중원구	공단약국	031-748-3533	경기도 성남시 중원구 둔촌대로 431 (상대원동)	91
중원구	우리약국	031-740-9177	경기도 성남시 중원구 둔촌대로 449, A동 106호 (상대원동, 중앙인더스피아)	31
중원구	모란시민약국	031-757-5897	경기도 성남시 중원구 둔촌대로 84, 1층 111호 (성남동)	85
중원구	세종프라자약국	031-731-5888	경기도 성남시 중원구 둔촌대로389번길 1, 1층 (상대원동)	78
중원구	성모약국	031-734-3065	경기도 성남시 중원구 박석로33번길 11 (상대원동)	49
중원구	신한타워약국	031-723-8112	경기도 성남시 중원구 산성대로 208, 1층 (성남동)	178
중원구	동재약국	031-744-4247	경기도 성남시 중원구 산성대로 248, 202호 (중앙동)	135
중원구	곤지약국	031-746-4703	경기도 성남시 중원구 산성대로 248-1 (중앙동)	166
중원구	메디온누리약국	031-741-4542	경기도 성남시 중원구 산성대로 268, 1층 (중앙동)	22
중원구	새생명옵티마약국	031-744-2398	경기도 성남시 중원구 산성대로 276 (중앙동, 1층)	196
중원구	퍼스트케어약국	031-731-6725	경기도 성남시 중원구 산성대로 338-2, 1층 (중앙동)	92
중원구	밝은약국	031-744-9044	경기도 성남시 중원구 산성대로 348-1 (중앙동)	148
중원구	성남약국	031-747-6188	경기도 성남시 중원구 산성대로 352, 1층 (중앙동)	23
중원구	스타약국	031-732-4055	경기도 성남시 중원구 산성대로 352, 1층 102호 (중앙동)	20
중원구	준온누리약국	031-734-1214	경기도 성남시 중원구 산성대로 354 (중앙동, 태성빌딩)	134
중원구	하늘샘약국	031-731-0515	경기도 성남시 중원구 산성대로 356, 1층 (중앙동)	171
중원구	도담약국	031-732-2044	경기도 성남시 중원구 산성대로 360, 지성빌딩 1층 103호 (중앙동)	153
중원구	해성약국	031-742-7952	경기도 성남시 중원구 산성대로 366, 벽산프라자 2층 201호 (중앙동)	29
중원구	나래약국	031-747-0905	경기도 성남시 중원구 산성대로 492, 1층 (은행동)	29
중원구	신신약국	031-743-3748	경기도 성남시 중원구 산성대로 496, 1층 (은행동)	71
중원구	삼보약국	031-748-5750	경기도 성남시 중원구 산성대로 522 (은행동)	125
중원구	은행시장약국	031-734-4021	경기도 성남시 중원구 산성대로 526 (은행동)	175
중원구	하나로약국	031-732-1082	경기도 성남시 중원구 산성대로 526 (은행동, 은행시장1층 다-2,3호)	187
중원구	성남스마일약국	031-734-9810	경기도 성남시 중원구 산성대로 526, 2층 2호 (은행동, 은행시장 )	173
중원구	태평양약국	031-736-1006	경기도 성남시 중원구 산성대로 530, 1층 (은행동)	11
중원구	보륭약국	031-747-2083	경기도 성남시 중원구 산성대로 586, 1층 (은행동)	54
중원구	미소약국	031-731-7763	경기도 성남시 중원구 산성대로372번길 13 (금광동)	123
중원구	21세기세계로약국	031-743-0624	경기도 성남시 중원구 산성대로372번길 14, 1층 (금광동, 동성빌딩)	167
중원구	명약국	031-747-5333	경기도 성남시 중원구 산성대로372번길 3 (금광동)	151
중원구	사랑온누리약국	031-741-5577	경기도 성남시 중원구 산성대로372번길 9, 1층 (금광동)	148
중원구	새금광약국	031-744-1051	경기도 성남시 중원구 산성대로434번길 9 (금광동)	6
중원구	중앙약국	031-733-8579	경기도 성남시 중원구 산성대로472번길 8-1 (금광동)	166
중원구	마이팜약국	031-742-7202	경기도 성남시 중원구 산성대로476번길 6-1 (금광동)	171
중원구	메디칼성심약국	031-732-6335	경기도 성남시 중원구 산성대로476번길 8, 1층 (금광동)	123
중원구	주공팜약국	031-746-1814	경기도 성남시 중원구 산성대로552번길 15, 가동 106호 (은행동, 은행주공상가)	76
중원구	한성온누리약국	031-735-6690	경기도 성남시 중원구 산성대로576번길 1 (은행동)	110
중원구	월드옵티마약국	031-745-2600	경기도 성남시 중원구 산성대로582번길 10 (은행동)	105
중원구	우리산성약국	031-733-1770	경기도 성남시 중원구 산성대로582번길 2, 1층 (은행동)	179
중원구	튼튼약국	031-721-6560	경기도 성남시 중원구 성남대로 1133 (성남동, 메트로칸 316호)	124
중원구	새로운약국	031-751-0028	경기도 성남시 중원구 성남대로 1141, 1층 (성남동, 둔전빌딩)	112
중원구	모란중앙약국	031-757-3188	경기도 성남시 중원구 성남대로 1149, 1층 (성남동)	25
중원구	광장약국	031-721-5016	경기도 성남시 중원구 성남대로 1152, 1층 (성남동)	194
중원구	이안약국	031-759-8811	경기도 성남시 중원구 성남대로1130번길 3, 1층 (성남동)	119
중원구	새모란21세기약국	031-758-1940~3	경기도 성남시 중원구 성남대로1148번길 2, 1층 101,102,103호 (성남동, 소평빌딩)	76
중원구	시대약국	031-734-1426	경기도 성남시 중원구 순환로 188, 상가동 1층 (상대원동, 궁전아파트)	44
중원구	해와솔 한약국	031-731-7591	경기도 성남시 중원구 순환로465번길 27, 1층 (은행동)	70
중원구	감초약국	031-751-1644	경기도 성남시 중원구 시민로 117-2 (성남동)	106
중원구	단대리약국	031-734-4018	경기도 성남시 중원구 시민로 120-1 (중앙동)	79
중원구	해밀약국	031-722-4727	경기도 성남시 중원구 양현로 469, 103호 (여수동, 가람빌딩)	192
중원구	성심우리약국	031-732-5020	경기도 성남시 중원구 은이로 10 (은행동)	106
중원구	조약국	031-745-3311	경기도 성남시 중원구 은이로 24, 1층 (은행동)	11
중원구	새코끼리약국	031-731-8717	경기도 성남시 중원구 은이로5번길 1, 1층 (은행동, 건영빌딩)	58
중원구	은성약국	031-734-2755	경기도 성남시 중원구 자혜로 40 (금광동)	109
중원구	메디칼약국	031-733-2775	경기도 성남시 중원구 자혜로 60 (금광동)	20
중원구	생문약국	031-747-4019	경기도 성남시 중원구 자혜로 73-2 (은행동)	18
중원구	자연약국	031-754-4333	경기도 성남시 중원구 제일로 37, 1층 (성남동, 신명빌딩)	11
중원구	건강제일약국	031-742-1540	경기도 성남시 중원구 희망로 335, 1층 (상대원동)	174
중원구	중원온누리약국	031-731-7944	경기도 성남시 중원구 희망로 336, 금진빌딩 1층 (상대원동)	192
중원구	신상대원약국	031-745-0942	경기도 성남시 중원구 희망로 356, 1층 107호 (상대원동, 휴먼프라자)	136
중원구	박약국	031-745-5981	경기도 성남시 중원구 희망로 359 (상대원동)	86
중원구	한독약국	031-742-9893	경기도 성남시 중원구 희망로 378, 1층 (상대원동)	145
중원구	에쉘약국	031-741-2931	경기도 성남시 중원구 희망로 448, 2층 (금광동)	153
중원구	우성약국	031-734-1880	경기도 성남시 중원구 희망로343번길 2 (상대원동)	178
중원구	민당약국	031-734-0039	경기도 성남시 중원구 희망로344번길 3 (상대원동)	110
중원구	세미약국	031-733-2006	경기도 성남시 중원구 희망로380번길 13 (상대원동)	49
성북구	파이쁘약국	010-2067-9386	성북구 안암동 1가 17 옥탑 (안암동,옥탑 파이쁘 타워)	34
성북구	파이쁘약국	010-2067-9386	성북구 안암동 1가 17 옥탑 (안암동,옥탑 파이쁘 타워)	34
